transaction_id,amount,transaction_hour,customer_age,transactions_last_24h,avg_transaction_amount,distance_from_last_transaction,is_new_device,is_international,failed_attempts,merchant_risk,is_fraud
1,1802.11,9,55,2,179.71,14.94,1,0,0,2,0
2,955.02,23,64,4,264.01,103.69,1,0,1,2,0
3,2095.8,16,32,5,1925.24,27.84,0,0,0,1,0
4,5029.27,20,26,0,1363.02,99.29,0,0,0,4,1
5,867.7,1,30,5,752.95,67.83,0,0,0,4,0
6,867.71,5,40,4,2257.85,4.83,0,0,0,5,0
7,5319.92,4,50,4,903.15,83.99,0,1,1,3,0
8,2362.4,3,26,4,679.96,38.81,1,0,1,3,1
9,685.76,1,20,2,225.14,56.6,0,0,1,1,0
10,1886.65,11,47,1,532.73,12.36,0,0,0,4,0
11,689.92,2,26,2,1455.97,0.01,0,0,0,1,0
12,688.33,5,69,5,1041.38,20.3,0,0,0,3,0
13,1396.83,23,42,2,3184.1,10.57,0,0,1,5,0
14,161.86,13,64,1,678.09,28.57,0,0,1,1,0
15,195.41,7,41,5,85.84,4.76,0,0,2,1,0
16,624.98,20,49,3,904.95,112.71,0,1,2,3,1
17,398.29,20,24,1,93.78,6.32,0,0,0,4,1
18,1501.54,13,53,0,453.47,72.24,0,0,4,3,0
19,442.29,2,42,5,1359.13,140.11,0,0,0,5,1
20,267.12,15,37,3,2558.29,8.02,0,0,0,4,0
21,4748.81,14,34,3,290.68,21.27,0,0,0,5,0
22,875.0,6,53,2,915.08,65.66,0,0,0,3,0
23,1173.24,14,43,2,2346.14,62.67,0,0,2,4,0
24,263.82,12,36,3,718.39,1.91,0,0,0,3,0
25,636.27,5,54,2,406.39,3.67,1,0,0,1,0
26,1225.28,14,65,5,2914.83,6.4,0,0,0,1,0
27,346.89,16,20,3,1470.73,41.97,0,0,1,4,0
28,1596.71,3,60,4,701.6,2.83,0,0,0,4,0
29,601.46,21,45,3,195.77,44.39,0,0,0,5,0
30,819.18,21,39,5,500.16,20.96,1,0,1,3,0
31,600.82,13,64,1,370.89,55.34,0,0,1,5,0
32,6990.3,14,36,3,168.29,76.17,1,0,2,3,1
33,1081.93,11,63,4,1957.57,78.37,0,0,0,2,0
34,380.81,18,33,2,1052.07,1.92,0,0,0,5,0
35,2496.25,21,23,1,376.94,147.06,0,0,0,4,0
36,323.49,9,54,1,416.53,44.17,0,1,2,1,0
37,1351.36,5,48,3,460.98,113.02,0,0,0,3,0
